gene_symbol_mouse,number_tissues_cycling,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Trp53,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Vegfa,5,NULL,8,9,NULL,NULL,21,NULL,NULL,14,NULL,2,NULL
Egfr,1,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL
Mthfr,6,NULL,22,22,NULL,NULL,22,NULL,22,22,NULL,NULL,22
Esr1,5,NULL,13,14,NULL,NULL,NULL,NULL,13,18,NULL,NULL,13
Tlr4,2,NULL,NULL,NULL,NULL,NULL,4,NULL,22,NULL,NULL,NULL,NULL
Nfkb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
H2-Eb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Ctnnb1,3,15,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,NULL
Akt1,4,NULL,10,11,NULL,NULL,NULL,NULL,NULL,13,9,NULL,NULL
Ace,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL
Ptgs2,1,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fas,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,21,NULL,NULL,NULL
Lep,3,NULL,16,18,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL
Pparg,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,0,NULL
H2-Ab1,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Mmp9,4,4,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,3
Cd4,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Ar,3,NULL,18,21,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gstm2,2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Tlr2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Hif1a,3,NULL,NULL,NULL,NULL,NULL,4,NULL,18,NULL,NULL,NULL,18
Igf1,3,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,15,0,NULL,NULL
Slc6a4,2,18,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Cdh1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Bcl2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Stat3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Cdkn1a,10,0,22,22,19,NULL,22,NULL,23,22,22,0,23
H2-Q6,4,8,6,NULL,NULL,NULL,NULL,NULL,7,21,NULL,NULL,NULL
Nos2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL
Kit,1,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL
Myc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Mapk14,4,NULL,NULL,19,NULL,NULL,NULL,NULL,15,17,NULL,NULL,18
Erbb2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL
