gene_symbol_mouse,number_tissues_cycling,phase_adrg,phase_aort,phase_bfat,phase_bstm,phase_cere,phase_hart,phase_hypo,phase_kdny,phase_livr,phase_lung,phase_musc,phase_wfat
Abcb1a,3,11,NULL,NULL,NULL,NULL,18,NULL,NULL,13,NULL,NULL,NULL
Gstt1,3,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,22,16,NULL,NULL
Pten,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Ccnd1,4,NULL,NULL,NULL,NULL,23,NULL,NULL,12,12,8,NULL,NULL
Bdnf,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL
Adipoq,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Vdr,2,NULL,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rb1,1,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pecam1,7,NULL,NULL,NULL,23,1,21,1,2,NULL,5,23,NULL
Ldlr,5,NULL,18,NULL,NULL,NULL,0,NULL,20,16,NULL,1,NULL
Itgb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
Serpine1,7,9,NULL,NULL,NULL,NULL,9,NULL,10,9,10,9,10
Tnfrsf1a,1,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ccr5,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Myd88,1,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Mmp2,2,NULL,NULL,NULL,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Notch1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7
Lepr,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Bmp4,2,13,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL
Dmd,1,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Kras,3,NULL,NULL,NULL,NULL,NULL,NULL,19,19,22,NULL,NULL,NULL
Prnp,4,18,NULL,21,NULL,NULL,NULL,NULL,15,19,NULL,NULL,NULL
Brca2,2,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,13,NULL
Sod1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL
Jun,2,10,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mdm2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Cxcr4,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,20
Comt,4,3,NULL,NULL,NULL,NULL,NULL,NULL,0,1,NULL,NULL,22
Rela,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Itgb3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Esr2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Mapt,2,20,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL
H2-K1,2,7,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL
Crp,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
H2-D1,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Agtr1a,5,20,NULL,NULL,NULL,NULL,8,NULL,3,2,NULL,4,NULL
Kdr,5,NULL,NULL,NULL,23,NULL,1,0,21,NULL,NULL,2,NULL
Psen1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL
Ret,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL
Cyp1a1,2,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,18,NULL,NULL
Adrb2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,12,11,NULL
Spp1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Hfe,4,2,NULL,20,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,22
Ppara,7,8,NULL,8,NULL,NULL,16,NULL,9,12,18,NULL,10
Gsk3b,2,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Snca,2,8,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prkca,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,2,22
Bmp2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,16,NULL,NULL
Fgf2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
Col1a1,2,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,4,NULL,NULL
Ptch1,1,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd44,3,17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,0
Sp1,2,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,0,NULL,NULL,NULL
Cav1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,0,NULL
Hmox1,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mtor,3,NULL,NULL,10,NULL,NULL,NULL,NULL,10,7,NULL,NULL,NULL
Pcna,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Fyn,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Cd40,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL
Sod2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,16,NULL,19
Gja1,4,NULL,1,0,NULL,NULL,2,NULL,16,NULL,NULL,NULL,NULL
Nod2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL
Tnfrsf1b,1,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL
Fgfr2,5,NULL,NULL,3,3,3,NULL,NULL,NULL,5,6,NULL,NULL
Ptk2,2,15,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL,NULL
Xrcc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL
Hras1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,11,NULL,NULL
Mlh1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL
Igf1r,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL
Braf,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL
Lpl,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL
Pon1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Smad3,3,NULL,NULL,NULL,NULL,4,22,NULL,NULL,NULL,NULL,23,NULL
Rhoa,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL
Pik3r1,6,NULL,17,NULL,NULL,NULL,15,NULL,21,14,17,19,NULL
Prkcd,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Fn1,1,NULL,NULL,NULL,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Abl1,2,NULL,NULL,NULL,NULL,NULL,16,NULL,NULL,NULL,11,NULL,NULL
Hbb-b1,2,NULL,NULL,9,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Bcl2l1,2,NULL,NULL,NULL,NULL,NULL,13,13,NULL,NULL,NULL,NULL,NULL
Sox9,2,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Crebbp,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL
Cd14,3,NULL,17,18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
C3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Abca1,5,NULL,10,11,NULL,NULL,14,NULL,NULL,NULL,14,NULL,10
Ahr,1,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Edn1,8,NULL,18,20,20,20,20,22,19,NULL,18,NULL,NULL
Ep300,2,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Casp8,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1
Hgf,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,2
Cd28,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL
Plau,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,2,NULL,NULL
Ptpn11,2,NULL,NULL,NULL,16,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL
Creb1,3,19,NULL,NULL,NULL,NULL,19,19,NULL,NULL,NULL,NULL,NULL
Acta2,3,23,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,3,NULL,NULL
Irs1,3,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL,NULL,7,22,NULL
Lck,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Met,1,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fgfr1,6,10,NULL,0,9,NULL,NULL,NULL,NULL,10,9,9,NULL
Runx1,1,NULL,NULL,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Htr2a,2,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,14,NULL,NULL
Cyp2e1,2,NULL,13,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL,NULL
Prkaca,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Nefm,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gjb2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Myod1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL
Ncam1,1,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL
Calb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL,NULL
Pgr,1,NULL,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Il4ra,3,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,23,NULL
Foxa2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,NULL,NULL
Pdgfra,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,21,NULL,NULL
Kitl,4,NULL,NULL,12,NULL,NULL,16,NULL,18,16,NULL,NULL,NULL
Flt1,6,17,NULL,12,NULL,0,16,NULL,19,22,NULL,NULL,NULL
Ptprc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL
Hdac1,1,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Mmp3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL
Cdc42,2,NULL,NULL,3,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cdk2,1,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tnfsf10,2,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL,NULL,NULL,19
Vcam1,5,12,NULL,NULL,NULL,NULL,15,NULL,20,13,0,NULL,NULL
Nfe2l2,6,NULL,15,15,16,NULL,NULL,NULL,19,NULL,16,11,NULL
Raf1,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mecp2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL
Rara,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL
Igfbp3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Fgfr3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9
Cebpb,3,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,12,NULL,15,NULL
Plat,1,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL
Drd4,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trp63,1,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Il1r1,3,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,NULL
Cnr1,1,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cd8a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL
Tgfbr2,3,NULL,NULL,NULL,NULL,NULL,17,NULL,6,11,NULL,NULL,NULL
Fmr1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
Ppargc1a,3,7,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Nf1,4,NULL,NULL,6,22,NULL,0,NULL,NULL,NULL,NULL,4,NULL
Il2ra,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL
Stat5a,3,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,4,NULL
Sele,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Cebpa,3,8,6,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Fcgr3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17,NULL,NULL,NULL
Rxra,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL
Cyp17a1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL
Pik3ca,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,3,NULL
Tcf7l2,2,6,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hba-a1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Maoa,2,11,NULL,NULL,NULL,NULL,NULL,NULL,21,NULL,NULL,NULL,NULL
Mitf,2,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,20,NULL,NULL,NULL
Ptpn6,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,2,NULL,NULL
Thbs1,3,3,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,5
Nfkbia,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,11,NULL,NULL
Ntrk2,2,NULL,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
F3,2,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL
Tlr3,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Hsp90aa1,9,19,21,22,NULL,NULL,NULL,22,21,18,18,23,22
Ubc,3,NULL,NULL,23,NULL,NULL,21,NULL,NULL,NULL,NULL,0,NULL
Pdgfrb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Gata4,2,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,22,NULL,NULL,NULL
Fgf10,2,NULL,NULL,22,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vim,1,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Nqo1,2,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Hnf1a,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20,NULL,NULL,NULL
Smad1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Nkx2-1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL
Ogg1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Bmp7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15,NULL,NULL,NULL
Cdk4,3,NULL,7,8,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL
Cbl,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Sirt1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL
Cyp1b1,2,NULL,NULL,22,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Fcgr2b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL
Cd36,2,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL
Cdh2,1,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Plaur,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Ptgs1,3,NULL,NULL,NULL,NULL,NULL,14,NULL,16,NULL,13,NULL,NULL
Prkcb,3,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,4,22,NULL
Actb,5,NULL,NULL,NULL,NULL,NULL,4,8,NULL,22,0,0,NULL
Tgfbr1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL,NULL
Slc2a1,6,NULL,NULL,NULL,14,15,11,NULL,20,19,19,NULL,NULL
Chek2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Kcnj11,1,NULL,NULL,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prkce,3,NULL,11,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13
Hmgb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Abcg2,5,NULL,NULL,15,14,NULL,13,NULL,2,NULL,NULL,NULL,16
Tyms,1,NULL,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Wnt5a,1,NULL,NULL,21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Foxo1,2,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,18,NULL
Lrp1,3,8,NULL,12,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL
Scarb1,4,17,7,NULL,NULL,6,NULL,NULL,NULL,NULL,11,NULL,NULL
Calb2,1,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ghr,1,NULL,NULL,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pdgfb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL
Tap1,2,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL
Ctgf,4,NULL,NULL,NULL,14,14,NULL,NULL,NULL,NULL,13,11,NULL
Plcg1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Prkcz,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,11,NULL,NULL
Lrrk2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,23
Mmp14,10,NULL,2,23,1,2,1,2,4,NULL,2,2,4
Dnmt1,1,19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ppard,3,21,NULL,NULL,NULL,NULL,NULL,NULL,23,22,NULL,NULL,NULL
Sell,2,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,4,NULL,NULL
Rarb,7,NULL,20,21,20,19,18,NULL,20,18,NULL,NULL,NULL
Kcnq1,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Apex1,4,NULL,9,NULL,NULL,9,NULL,NULL,NULL,22,7,NULL,NULL
Hspa5,5,NULL,NULL,NULL,21,NULL,1,21,18,NULL,20,NULL,NULL
Tgfb2,1,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL
Thrb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL
Fbn1,8,3,NULL,1,NULL,5,3,NULL,3,NULL,2,3,3
F7,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL
Mgmt,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,NULL,NULL
Dll1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL
Stat5b,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Adrb3,3,NULL,2,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Trf,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL
Cxcl10,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL
Adora2a,2,NULL,NULL,NULL,NULL,NULL,22,NULL,NULL,NULL,NULL,NULL,2
Adrb1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10,NULL,NULL
Nbn,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23
Tgfa,2,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,12,NULL,NULL
Hc,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23,NULL,NULL
Srebf1,3,NULL,16,NULL,NULL,NULL,NULL,NULL,19,14,NULL,NULL,NULL
Pml,2,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,23,NULL,NULL,NULL
Col10a1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,NULL,NULL,NULL
Kcnh2,1,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL
Gnrh1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16,NULL,17,NULL,NULL
Il2rg,5,7,NULL,NULL,NULL,NULL,2,NULL,NULL,0,4,23,NULL
Tek,7,19,2,NULL,22,0,NULL,NULL,19,22,NULL,1,NULL
F2r,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,14,NULL,NULL
Thra,9,2,3,4,NULL,NULL,2,NULL,3,0,4,4,5
Sumo1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18
Ercc1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
Myb,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL
Lgals3,1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
