"","x"
"510","CRIPT"
"511","LGALSL"
"512","ITPK1"
"513","ADAMTS15"
"514","MGAT4B"
"515","RASD2"
"516","PATZ1"
"517","PPP1R15A"
"518","MTCH2"
"519","HSPB8"
"520","TUBGCP4"
"521","SMPDL3B"
"522","HUNK"
"523","NT5C"
"524","FAM120A"
"525","LPIN2"
"526","CLSTN1"
"527","KIAA0513"
"528","SNX17"
"529","SPCS2"
"530","SERTAD2"
"531","SCRN1"
"532","SPOCK2"
"533","RNF40"
"534","C2CD2L"
"535","FARP2"
"536","RHOBTB1"
"537","KLHL21"
"538","TMCC2"
"539","CD302"
"540","COBLL1"
"541","LMTK2"
"542","LPHN1"
"543","CNKSR2"
"544","ZHX2"
"545","BAHD1"
"546","BTBD3"
"547","WDR47"
"548","EXOSC7"
"549","EXPH5"
"550","TTLL5"
"551","CLCC1"
"552","STAB1"
"553","ZCCHC14"
"554","RGL1"
"555","KIAA0922"
"556","ANKRD12"
"557","ARAP2"
"558","TRIM37"
"559","LARP1"
"560","PPP1R13B"
"561","TECPR1"
"562","PAMR1"
"563","AHCTF1"
"564","KANK2"
"565","TIPARP"
"566","KRT23"
"567","SIPA1L1"
"568","ARHGEF26"
"569","DCAF4"
"570","WSB1"
"571","AAAS"
"572","CNPPD1"
"573","SGSM3"
"574","LPIN1"
"575","FAM65B"
"576","ATL1"
"577","AMDHD2"
"578","CUTC"
"579","PLLP"
"580","DYNC2LI1"
"581","APH1A"
"582","ISOC1"
"583","MPC1"
"584","TMEFF2"
"585","GPRC5B"
"586","EMCN"
"587","TUBD1"
"588","TOB2"
"589","PCYOX1"
"590","NAT8"
"591","DCDC2"
"592","LIMA1"
"593","CD244"
"594","CRIM1"
"595","MPP5"
"596","TMEM9"
"597","PRKD2"
"598","PPHLN1"
"599","RNF181"
"600","SYT17"
"601","UBAP1"
"602","GMIP"
"603","PCDH12"
"604","CYP39A1"
"605","ZDHHC3"
"606","CNTFR"
"607","CLDN1"
"608","RECK"
"609","DNAJC5"
"610","RBMS1"
"611","CLDN7"
"612","SPINT1"
"613","A4GALT"
"614","BAIAP2"
"615","FAM20A"
"616","ZC3H7B"
"617","CDKN2AIP"
"618","LRRC16A"
"619","GATAD2A"
"620","BCAS3"
"621","GDPD2"
"622","TASP1"
"623","SNRK"
"624","TMEM214"
"625","FLVCR2"
"626","CMTM6"
"627","RASIP1"
"628","LPCAT1"
"629","FAM120C"
"630","TMEM160"
"631","ZNF692"
"632","SLC35A5"
"633","CUEDC1"
"634","PDPR"
"635","MREG"
"636","ARGLU1"
"637","C10orf118"
"638","PACS1"
"639","WDR70"
"640","ATP5SL"
"641","LMBR1L"
"642","TMEM33"
"643","INTS10"
"644","APPL2"
"645","LGI2"
"646","EXD2"
"647","MOB1A"
"648","STEAP3"
"649","ASXL2"
"650","TMEM140"
"651","SCN3B"
"652","ADAP2"
"653","LAPTM4B"
"654","EAPP"
"655","FAM45A"
