"","x"
"1374","LOC102724560"
"1375","HK2"
"1376","MTM1"
"1377","UROS"
"1378","LAMA2"
"1379","ADH7"
"1380","ACE"
"1381","GRIA3"
"1382","GSTA3"
"1383","GSTM4"
"1384","GSTT2"
"1385","GSTT2B"
"1386","GUCY1A3"
"1387","PON3"
"1388","PTGIS"
"1389","RPL11"
"1390","RPL22"
"1391","LSS"
"1392","ABCA3"
"1393","ENTPD5"
"1394","CHD2"
"1395","EPB41L2"
"1396","ACADL"
"1397","CKB"
"1398","CLTB"
"1399","COX4I1"
"1400","CYB561"
"1401","ACSL1"
"1402","FES"
"1403","GLUL"
"1404","IDH2"
"1405","ITGA7"
"1406","NDUFA4"
"1407","PKM"
"1408","PPP2R5D"
"1409","PRKAR1B"
"1410","PSAP"
"1411","QSOX1"
"1412","PTPRM"
"1413","RBMS2"
"1414","RDX"
"1415","RPS27A"
"1416","SRSF2"
"1417","RNF43"
"1418","THRA"
"1419","TIMP4"
"1420","STX7"
"1421","VAPA"
"1422","DGKZ"
"1423","MKNK1"
"1424","VAMP8"
"1425","CDS2"
"1426","SNAP23"
"1427","CSRP1"
"1428","CALR"
"1429","COL6A3"
"1430","DSP"
"1431","AGFG1"
"1432","MLLT3"
"1433","RPS6KA3"
"1434","PCSK7"
"1435","LITAF"
"1436","VPS4B"
"1437","DOCK2"
"1438","SLC29A1"
"1439","SLC15A1"
"1440","HMGCS2"
"1441","SLCO2A1"
"1442","MMP11"
"1443","ECI2"
"1444","BASP1"
"1445","RABAC1"
"1446","TXNIP"
"1447","KHK"
"1448","CPSF4"
"1449","SERINC3"
"1450","SOS2"
"1451","SLC19A2"
"1452","TLE4"
"1453","SLC6A14"
"1454","SLC27A6"
"1455","NMNAT1"
"1456","DBI"
"1457","GNAO1"
"1458","GNA13"
"1459","SCN3A"
"1460","CS"
"1461","SORD"
"1462","ATP2B2"
"1463","ACSL4"
"1464","SLC36A4"
"1465","LETM1"
"1466","PRKCB"
"1467","PLXNA2"
"1468","MAP2K3"
"1469","CRY2"
"1470","IGFBP5"
"1471","PSMB8"
"1472","ABCC9"
"1473","CLCN7"
"1474","MAP2K7"
"1475","SIRT1"
"1476","SNW1"
"1477","USP21"
"1478","GPSM2"
"1479","PTPN6"
"1480","RORA"
"1481","NDUFS2"
"1482","FLVCR1"
"1483","UBE2S"
"1484","ELMO1"
"1485","TBC1D2B"
"1486","MTHFD1L"
"1487","SLC7A10"
"1488","FBLIM1"
"1489","TMEM106B"
"1490","TBC1D1"
"1491","FAM20C"
"1492","RHOJ"
"1493","SORCS2"
"1494","ANK3"
"1495","GOLPH3"
"1496","PIM3"
"1497","USP46"
"1498","PANK1"
"1499","DOCK5"
"1500","SLC25A33"
"1501","TBC1D9"
"1502","MARK4"
"1503","KALRN"
"1504","VARS2"
"1505","YIF1B"
"1506","ITPRIP"
"1507","ADC"
"1508","DIS3L2"
"1509","PNPLA7"
"1510","SLC7A6"
"1511","CHD3"
"1512","ZNF280B"
"1513","MED16"
"1514","SLC44A3"
"1515","RAB7B"
"1516","LRTM2"
"1517","NCOA7"
"1518","SERINC5"
"1519","FAM124B"
"1520","EOGT"
"1521","TMTC1"
"1522","TUSC5"
"1523","METTL24"
"1524","CCDC85A"
"1525","EFR3B"
"1526","KLHL29"
"1527","ARHGEF5"
"1528","TMEM185A"
"1529","KRT80"
"1530","PLXNB2"
"1531","ZCCHC24"
"1532","CYP1A1"
"1533","SERPINE1"
"1534","HTR2A"
"1535","ADH5"
"1536","ADRA1A"
"1537","HPGD"
"1538","IMPDH1"
"1539","KLK3"
"1540","RPS28"
"1541","ATP6V1B1"
"1542","DDR1"
"1543","HLA-DMB"
"1544","KCNH1"
"1545","RPSA"
"1546","PPAT"
"1547","RYK"
"1548","SPOP"
"1549","USP13"
"1550","RPS6KB2"
"1551","FABP3"
"1552","FKBP1B"
"1553","NUMBL"
"1554","NAPSA"
"1555","SLC4A8"
"1556","VPS26A"
"1557","RAC3"
"1558","SLC23A2"
"1559","MED12"
"1560","HSP90AA1"
"1561","HSD11B1"
"1562","HSPG2"
"1563","ERF"
"1564","SLC2A1"
"1565","HSPA8"
"1566","SLC20A2"
"1567","POMT1"
"1568","HSPA2"
"1569","FBXL20"
"1570","SEC14L4"
"1571","AP2A1"
"1572","NMT1"
"1573","FGFR1"
"1574","MYL6"
"1575","SIX4"
"1576","FMNL3"
"1577","IKZF4"
"1578","SLC13A4"
"1579","ATP2A3"
"1580","SH2D3C"
"1581","ABLIM3"
"1582","ERC2"
"1583","ATP9A"
"1584","HSD17B11"
"1585","ICK"
"1586","DYM"
"1587","RPS6KA4"
"1588","SLC2A9"
"1589","AGPAT4"
"1590","ZNF512B"
"1591","NLN"
"1592","AHCYL2"
"1593","EPHX3"
"1594","CYBRD1"
"1595","IFLTD1"
"1596","FAM57B"
"1597","CYP4F22"
"1598","SLC45A4"
"1599","DCLK3"
"1600","YPEL2"
"1601","FMNL2"
"1602","MTSS1L"
"1603","PHLPP2"
"1604","RAPH1"
"1605","SPNS2"
"1606","ABCA6"
"1607","UAP1L1"
"1608","KCNE2"
"1609","LIPH"
"1610","FLYWCH1"
"1611","ZNF454"
"1612","DIP2B"
"1613","GLB1L3"
"1614","CD36"
"1615","COL1A1"
"1616","SLC26A2"
"1617","ADH1C"
"1618","CYP2B6"
"1619","C18orf32"
"1620","PDGFB"
"1621","HSP90AB1"
"1622","HSPA14"
"1623","GSTA5"
"1624","PTPN3"
"1625","CLIP1"
"1626","TEAD4"
"1627","ACOX2"
"1628","MAD1L1"
"1629","TAOK2"
"1630","SCD"
"1631","BRD2"
"1632","MAF"
"1633","ABCC4"
"1634","SEC23B"
"1635","GLIPR2"
"1636","PGM5"
"1637","EYA1"
"1638","PALLD"
"1639","INPP5K"
"1640","INO80"
"1641","ANO1"
"1642","ACOXL"
"1643","SLC16A10"
"1644","NGEF"
"1645","CASS4"
"1646","SHANK3"
"1647","MCTP1"
"1648","CCDC176"
"1649","TRIB1"
"1650","FAM107B"
"1651","ATP13A4"
"1652","MAP3K9"
"1653","PRX"
"1654","CTSV"
"1655","GIPC3"
"1656","CALML4"
"1657","OSBPL2"
"1658","CCDC17"
"1659","APCDD1"
"1660","PLXNA4"
"1661","CYP2U1"
"1662","ASTN2"
"1663","SIPA1L3"
"1664","SLC10A5"
"1665","HIP1R"
"1666","SPIB"
"1667","OSBPL7"
"1668","TMEM200B"
"1669","PRDM6"
"1670","CSTF2"
"1671","STX3"
"1672","DPEP1"
"1673","CEPT1"
"1674","EHD3"
"1675","GATSL3"
"1676","TSLP"
"1677","SP110"
"1678","ZXDC"
"1679","SMTNL2"
"1680","DIXDC1"
"1681","INF2"
"1682","FOXK1"
"1683","IQSEC1"
"1684","FAM162B"
"1685","ADAMTS6"
"1686","MYO1H"
"1687","SIRPB1"
"1688","RPS29"
"1689","SORBS1"
"1690","H2AFV"
"1691","DOCK6"
"1692","NXPE4"
"1693","WDFY4"
"1694","LMO7"
"1695","C10orf62"
"1696","CYS1"
"1697","SHROOM2"
"1698","SBF1"
"1699","RPTN"
"1700","CYP2A6"
"1701","CYP2A7"
"1702","CYP2A13"
"1703","FRG2"
"1704","FRG2B"
"1705","ZNF407"
"1706","WASF2"
"1707","LILRB4"
"1708","METTL7A"
"1709","FMO2"
"1710","RNF168"
"1711","C19orf38"
"1712","C12orf56"
"1713","NEK5"
"1714","TOM1"
"1715","PFKFB2"
"1716","CXCL6"
"1717","IL11RA"
"1718","YBX1"
"1719","PFKFB3"
"1720","HS3ST3A1"
"1721","KIAA0825"
"1722","MLIP"
"1723","WIPI2"
"1724","PMM1"
"1725","USP54"
"1726","RPS21"
"1727","RPS14"
"1728","OPLAH"
"1729","ZDHHC9"
"1730","OSBPL5"
"1731","DGKH"
"1732","TRIP10"
"1733","CFL1"
"1734","DGKD"
"1735","MAGT1"
"1736","FAM63B"
"1737","OSBPL6"
"1738","HLA-DRB5"
"1739","TMEM63B"
"1740","TSC22D3"
"1741","CORO6"
"1742","ARHGAP23"
"1743","RPL27"
"1744","ZNF266"
"1745","SYNRG"
"1746","SPRR1A"
"1747","SHANK2"
"1748","VDAC1"
"1749","FABP5"
"1750","ZNF502"
"1751","ALDH1A1"
"1752","ACTB"
"1753","RPS12"
"1754","MS4A8"
"1755","SERPINA3"
"1756","WIPF3"
"1757","ITGAE"
"1758","DYNLL2"
"1759","RFK"
"1760","IFI16"
"1761","AKR1B10"
